DATE,OUVERTURE_1,FERMETURE_1
2021-11-23,10:05:00,14:05:00
2021-11-23,22:35:00,
2021-11-24,,02:35:00
2021-11-24,10:40:00,14:40:00
2021-11-24,23:10:00,
2021-11-25,,03:10:00
2021-11-25,11:20:00,15:20:00
2021-11-25,23:45:00,
2021-11-26,,03:45:00
2021-11-26,11:50:00,15:50:00
2021-11-26,,
2021-11-27,00:45:00,04:45:00
2021-11-27,13:00:00,17:00:00
2021-11-27,,
2021-11-28,02:15:00,06:15:00
2021-11-28,14:25:00,18:25:00
2021-11-28,,
2021-11-29,,
2021-11-29,03:30:00,07:30:00
2021-11-29,15:40:00,19:40:00
2021-11-30,,
2021-11-30,04:50:00,08:50:00
2021-11-30,16:55:00,20:55:00
2021-12-01,,
2021-12-01,05:35:00,09:35:00
2021-12-01,17:40:00,21:40:00
2021-12-02,,
2021-12-02,06:10:00,10:10:00
2021-12-02,18:25:00,22:25:00
2021-12-03,,
2021-12-03,06:50:00,10:50:00
2021-12-03,19:10:00,23:10:00
2021-12-04,,
2021-12-04,07:35:00,11:35:00
2021-12-04,19:55:00,23:55:00
2021-12-05,,
2021-12-05,08:20:00,12:20:00
2021-12-05,20:45:00,
2021-12-06,,00:45:00
2021-12-06,09:10:00,13:10:00
2021-12-06,21:40:00,
2021-12-07,,01:40:00
2021-12-07,10:00:00,14:00:00
2021-12-07,22:35:00,
2021-12-08,,02:35:00
2021-12-08,10:50:00,14:50:00
2021-12-08,23:30:00,
2021-12-09,,03:30:00
2021-12-09,11:45:00,15:45:00
2021-12-09,,
2021-12-10,00:30:00,04:30:00
2021-12-10,12:45:00,16:45:00
2021-12-10,,
2021-12-11,01:35:00,05:35:00
2021-12-11,13:55:00,17:55:00
2021-12-11,,
2021-12-12,02:40:00,06:40:00
2021-12-12,14:55:00,18:55:00
2021-12-12,,
2021-12-13,,
2021-12-13,03:50:00,07:50:00
2021-12-13,16:05:00,20:05:00
2021-12-14,,
2021-12-14,05:00:00,09:00:00
2021-12-14,17:20:00,21:20:00
2021-12-15,,
2021-12-15,05:50:00,09:50:00
2021-12-15,18:10:00,22:10:00
2021-12-16,,
2021-12-16,06:30:00,10:30:00
2021-12-16,18:50:00,22:50:00
2021-12-17,,
2021-12-17,07:05:00,11:05:00
2021-12-17,19:30:00,23:30:00
2021-12-18,,
2021-12-18,07:40:00,11:40:00
2021-12-18,20:05:00,
2021-12-19,,00:05:00
2021-12-19,08:10:00,12:10:00
2021-12-19,20:35:00,
2021-12-20,,00:35:00
2021-12-20,08:40:00,12:40:00
2021-12-20,21:10:00,
2021-12-21,,01:10:00
2021-12-21,09:15:00,13:15:00
2021-12-21,21:45:00,
2021-12-22,,01:45:00
2021-12-22,09:50:00,13:50:00
2021-12-22,22:20:00,
2021-12-23,,02:20:00
2021-12-23,10:25:00,14:25:00
2021-12-23,22:55:00,
2021-12-24,,02:55:00
2021-12-24,11:05:00,15:05:00
2021-12-24,23:40:00,
2021-12-25,,02:40:00
2021-12-25,11:45:00,14:45:00
2021-12-25,,
2021-12-26,00:25:00,03:25:00
2021-12-26,12:35:00,16:35:00
2021-12-26,,
2021-12-27,01:15:00,05:15:00
2021-12-27,13:25:00,17:25:00
2021-12-27,,
2021-12-28,02:30:00,06:30:00
2021-12-28,14:40:00,18:40:00
2021-12-28,,
2021-12-29,,
2021-12-29,03:50:00,07:50:00
2021-12-29,16:05:00,20:05:00
2021-12-30,,
2021-12-30,04:50:00,08:50:00
2021-12-30,17:10:00,21:10:00
2021-12-31,,
2021-12-31,05:45:00,09:45:00
2021-12-31,18:10:00,21:10:00
